Codigo ,Proceso,Responsable,Tipo de hallazgo,Fuente,Descripcion,Fecha reporte,Fecha cierre ultima acción,AccionesPlanteadas
DPC,Dirección de Planeación Corporativa,,C,Interna,Se evidencio la materialización de un impacto ambiental consistente en contaminación de suelo por inadecuado manejo de derivados del petróleo (Grasas y Aceites de motor) en la zona de patio contiguo al taller de aseo. Incumpliendo los controles planificados en la matriz de Aspectos e Impactos Ambientales.,2022-12-22,2023-12-31,4
DCM,Comunicaciones,,C,Interna Contratada,"7.5.3 Control de la información documentada. *En la auditoria se observó que el registro Contexto de Dirección de Comunicaciones GG-R-009 se encuentra diligenciado en la versión 01, Necesidades y expectativas de las partes interesadas GG-R-014 de Dirección de Comunicaciones no se encuentra diligenciada. *La carpeta de los Normativos del Sistema de Gestión Integrado se encuentra desactualizada.",2022-03-01,2022-04-30,7
DCM,Comunicaciones,,C,Interna,"NTC ISO 9001--9,3,2 Entradas por la revisión por la dirección y 9,3,3 salidas de la revisión por la dirección -- Los auditados, manifiestan no conocer ni haber realizado revisión por la dirección, haber evaluado documentos y registros Acta de revisión por la dirección de los procesos Código : GG-R-013 Versión: 10 Fecha de Emisión: 21-12-29",2022-11-01,2023-12-31,5
DCM,Comunicaciones,,C,Interna Contratada,"NTC ISO 9001 7,5,3,1 Control de la información documentada-- Se evidencia quie no realizan copias de seguridad, no se encuentran las entregas de copias de mayo, junio 2022, esto incumplimiendo la guia de administraciópn de sistemas de información DTIC G 002 versión 7 20-08-24 numeral 7, donde especifica que deben hacerse copias de seguridad mensuales",2022-11-01,2023-12-31,4
DCM,Comunicaciones,,C,Interna,"NTC ISO 9001 7,5 Información documentada--Se evidencia que el listado maestro de documentos Código: AM-R-003 Versión: 14 Fecha de Emisión: 16-12-14, verificado los enlaces del decreto 1499 de 20017, decreto 612 de 2018 y otros no se pueden traer en la casila Recuperación Fisica o Dirección de la pagina Web, Las siguientes normas se encuentran desactualizadas, debido a que algunas fueron derogadas o reemplazadas, estas son: decreto 132 del 2020, decreto 142 del 2020, decreto199 de 2022, Algunas normas que si aplican al proceso como lo son: Ley 1712 de 2014, no se encuentran en el indentificación documentos Externos.",2022-11-01,2023-12-31,4
DCM,Comunicaciones,,C,Interna Contratada,"NC No. 4. NTC ISO 9001 7,5,3,2,Se evidencia el documento Plan de Comunicaciones Código: DCM-PP-001 Versión: 10 Fecha de Emisión: 21-12-07, Se evidencia que el documento vigente es para el año 2021, con lo cual se encuentra desactualizado y presenta 15 indicadores los cuales no son evidenciados al momento de solicitarlos al proceso, frente a unas metas establecidas en el proceso.
 NC No. 5. NTC ISO 9001 7,5,3,2 ,Se analiza el documento Plan de Comunicación Interna Código: DCM-PP-002 Versión: 1 Fecha de Emisión: 19-06-25, Se evidencia que el documento vigente es para el año 2019, con lo cual se encuentra desactualizado y presenta 7 indicadores los cuales no son evidenciados al momento de solicitarlos al proceso, frente a unas metas establecidas en el proceso.",2022-11-01,2023-12-31,4
DCM,Comunicaciones,,C,Interna,"NTC ISO 9001 7,1,3 Infraestrutura - Preguntado, sobre las hojas de vida de los equipos que son utilizados en el proceso , como cámaras y demás. El proceso no evidencia la elaboración de hojas de vida de equipos, en la empresa existe Hoja de vida del Equipamiento y maquinaria Código: LCM-R-002 Versión: 04 Fecha de Emisión: 20-09-28, el cual se consolido para todos los equipos de EPA ESP, excepto para equipos de maquinaria amarilla.",2022-11-01,2023-12-31,4
DCM,Comunicaciones,,C,Externa,"NTC ISO 9001 7,5 Información documentada---- Verificada la aplicación de la tabla de retención documental Código: GR-R-001 Versión: 05 Fecha de Emisión: 19-08-27, Se evidencia que el proceso no lleva lo establecido Manual de Prcesos y Procedimientos Código: GR-P-008 Versión: 06 fecha de EMisión: 21-11-05 2,Procedimiento:Recepción, digitalización, distribución, elaboración de inventarios documentales, trasferencias documentales, conservación y disposición final de Información primaria y Secundaria (documentos internos y externos) de EMpresas Públicas de Armenia E.S.P Al no marcar las carpetas como lo estabolece la tabla de retencuión documental Código: GR-R-011 Versión: 05 Fecha de Emisión: 19-08-27",2022-11-01,2023-12-31,4
AM,Análisis y Mejora,,C,Externa,No presentan acciones abiertas,2022-11-01,2023-12-31,4
LECA,Laboratorio Ensayo de Calidad de Agua,,C,Interna,No se sigue los lineamientos establecidos en el procedimiento de Gestión comercial de los servicios de los Laboratorios de Ensayos de Calidad de Agua (LECA) y Calibración de Medidores (LCM) con código DC-P-011 y matriz de conflicto de interés de los laboratorios.,2022-08-08,2023-30-03,5
LCM,Laboratorio Calibración de Medidores,,C,Interna,No se sigue los lineamientos establecidos en el procedimiento de Gestión comercial de los servicios de los Laboratorios de Ensayos de Calidad de Agua (LECA) y Calibración de Medidores (LCM) con código DC-P-011 y matriz de conflicto de interés de los laboratorios.,2022-08-08,2023-30-03,5
GG,Gerencia General,,C,Interna,"NC1. numeral 9.1.1.d de la Norma NTC ISO 9001: 2015 EVALUACION DEL DESEMPEÑO: La orginación debe evaluar el desempeño la eficacia del sistema de gestión de la calidad, la organización debe conservar la información documentada apropiada como evidencia de los resultados.
 No se evidencia el seguimiento y análisis y el reporte que realiza el proceso al indicador ""cumplimiento de la evalución y revaluación de proveedores"", cuyo periodo de evaluación y reporte es semestral.",2023-12-18,2024-01-30,3
GG,Gerencia General,,C,Externa,"NC2. numeral 7.5.3.2 de la Norma NTC ISO 9001: 2015. Para el control de la información documentada, la organización debe abordar las siguientes actividades.
 La información documentada de origen externo.
 No se evidencia acta de la revisión de la actualización de documentos anuales del proceso, por lo cual no se esta cumpliendo con el Manual de Procesos y Procedimientos código (AM-P-001), procedimiento Control de documentos, al igual en los procesos para los documentos externos se deben revisa trimestralmente teniendo prioridad la normatividad aplicable a cada proceso.",2023-12-18,2024-04-30,3
GTAR,Gestión Tratamiento Aguas Residuales,,C,Interna Contratada,"9,1,3 Se tiene proyectado plan de contingencia en caso de corte de energía en la planta de tratamiento de aguas residuales PTAR y este no es acorde con los equipos disponibles",2018-01-29,2018-07-31,5
